Nr.,ZSK1,ZSK2,ZSK3,Vola4,Vola5,Vola6,Verlust7,Verlust8,MR9,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR17,MR18,MR19,MR20,EM,SCR,Quote
5993,0.0437890887260437,0.6280742883682251,0.9674428105354309,0.11016488075256348,0.8870157599449158,0.8789118528366089,0.12337738275527954,0.16701936721801758,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,98153160.13123637,1517788657.7340295,0.06466852919942975
5994,0.6067010760307312,0.1112133264541626,0.002400696277618408,0.552166223526001,0.9203867316246033,0.7006739377975464,0.892466127872467,0.15662813186645508,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1124213804.3999684,517079228.16369194,2.174161604581176
5995,0.4094354510307312,0.7030102014541626,0.2270100712776184,0.878338098526001,0.9418711066246033,0.6362208127975464,0.08582550287246704,0.5765500068664551,0.05000000000000006,0.05000000000000006,0.5000000000000006,0.6,0.6666666666666666,0.22222222222222215,0.75,0.849,0.11333333333333334,0.6000000000000001,0,0.3,576376551.8858678,997531110.7523065,0.577803083706515
5996,0.6676141619682312,0.3034740686416626,0.3006184697151184,0.03251290321350098,0.35434669256210327,0.7737940549850464,0.548105776309967,0.5647091865539551,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1286103211.427104,396798115.4675717,3.241202922326406
5997,0.7578393816947937,0.6734234094619751,0.2688954472541809,0.8933069705963135,0.47508949041366577,0.3021906614303589,0.29104095697402954,0.3515286445617676,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1124720910.8093514,433536746.8135224,2.594291992722658
5998,0.5367242693901062,0.1648937463760376,0.3101094365119934,0.22279000282287598,0.12726539373397827,0.4237879514694214,0.691874086856842,0.8521542549133301,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1515425555.2544336,431253784.5321741,3.513999435154809
5999,0.7932550311088562,0.0828014612197876,0.4938862919807434,0.858959436416626,0.6562570929527283,0.5243128538131714,0.32779937982559204,0.13187837600708008,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,980398824.8680373,505646297.7223064,1.938902409222144
6000,0.9484063982963562,0.4923473596572876,0.6402485966682434,0.294872522354126,0.7235178351402283,0.1975306272506714,0.683146059513092,0.9408383369445801,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1009982383.5223155,400124971.22199595,2.5241673381138727
6001,0.4485132098197937,0.8514019250869751,0.9849599003791809,0.9951136112213135,0.41966956853866577,0.7184504270553589,0.29226166009902954,0.5978665351867676,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1112968671.8560207,623440721.1007667,1.7852036836652698
6002,0.8838617205619812,0.0922313928604126,0.6218464970588684,0.0063288211822509766,0.6203989386558533,0.4131373167037964,0.31757599115371704,0.19379854202270508,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1148905232.9293618,414182146.96084034,2.77391297852823
